Timestamp,LastSenior,LastSenior01,CorrespondingCurrent,CorrespondingCurrent01,CorrespondingBest,CorrespondingBest01,CVStatement,CVStatement01,PrimaryResearch,PrimaryResearch01,BasicApplied,BasicApplied01,Interdisciplinary,Inter01,YearssincePhD,PhD01,WhereLive,WhereLive01,CurrentDept,Dept01
4/7/16 13:35,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,,.,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Sometimes,3,0 (current students should choose this),1,Asia,2,A Biology department,2
4/6/16 20:05,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be whichever person uploaded the files (usually the first author),3,No,1,Ecology (primarily computational-based),3,Basic,1,Often,4,5-Jan,2,Australia,3,A Biology department,2
4/11/16 17:46,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily field-based),1,Basic,1,Often,4,5-Jan,2,Australia,3,A Biology department,2
4/7/16 0:08,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably pay attention to it",3,Biology other than EEB,6,Applied,2,Sometimes,3,5-Jan,2,Australia,3,A Biology department,2
4/6/16 7:44,No,1,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Sometimes,3,5-Jan,2,Australia,3,A Biology department,2
4/6/16 17:01,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Evolutionary biology (primarily organismal),5,Basic,1,Sometimes,3,5-Jan,2,Australia,3,A Biology department,2
4/7/16 21:34,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Ecology (primarily computational-based),3,Applied,2,Often,4,10-Jun,3,Australia,3,A Biology department,2
4/7/16 8:04,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,No,1,Ecology (primarily field-based),1,Basic,1,Often,4,10-Jun,3,Australia,3,A Biology department,2
4/8/16 20:08,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the senior author,4,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Basic,1,Rarely,2,10-Jun,3,Australia,3,A Biology department,2
4/6/16 18:54,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Sometimes,3,10-Jun,3,Australia,3,A Biology department,2
4/7/16 8:03,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,"Ecology (primarily wet-lab based, including molecular ecology)",2,Basic,1,Sometimes,3,10-Jun,3,Australia,3,A Biology department,2
4/6/16 19:53,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Evolutionary biology (primarily organismal),5,Basic,1,Sometimes,3,10-Jun,3,Australia,3,A Biology department,2
4/7/16 22:28,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily field-based),1,Applied,2,Always,5,15-Nov,4,Australia,3,A Biology department,2
4/6/16 8:14,No,1,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Biology other than EEB,6,Applied,2,Often,4,15-Nov,4,Australia,3,A Biology department,2
4/7/16 23:38,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Ecology (primarily field-based),1,Applied,2,Often,4,15-Nov,4,Australia,3,A Biology department,2
4/6/16 7:37,Yes,6,The corresponding author is the person with the most stable contact info and/or internet access,2,The corresponding author should be the person with the most stable contact info and/or internet access,2,Yes,4,Ecology (primarily field-based),1,Basic,1,Rarely,2,15-Nov,4,Australia,3,A Biology department,2
4/6/16 20:43,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Often,4,>20,6,Australia,3,A Biology department,2
4/6/16 7:09,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person with the most stable contact info and/or internet access,2,Yes,4,Biology other than EEB,6,Basic,1,Often,4,>20,6,Australia,3,A Biology department,2
4/6/16 6:51,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Sometimes,3,>20,6,Australia,3,A Biology department,2
4/6/16 6:52,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Never,1,0 (current students should choose this),1,Australia,3,A Biology department,2
4/6/16 8:21,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Ecology (primarily field-based),1,Applied,2,Never,1,0 (current students should choose this),1,Australia,3,A Biology department,2
4/11/16 19:30,"It depends, but probably yes",5,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Never,1,0 (current students should choose this),1,Australia,3,A Biology department,2
4/6/16 21:12,"It depends, but probably yes",5,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be whichever person uploaded the files (usually the first author),3,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Often,4,0 (current students should choose this),1,Australia,3,A Biology department,2
4/11/16 18:19,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Rarely,2,0 (current students should choose this),1,Australia,3,A Biology department,2
4/12/16 23:34,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be whichever person uploaded the files (usually the first author),3,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily computational-based),3,Basic,1,Rarely,2,0 (current students should choose this),1,Australia,3,A Biology department,2
4/17/16 4:12,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Applied,2,Sometimes,3,0 (current students should choose this),1,Australia,3,A Biology department,2
4/20/16 9:56,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily field-based),1,Applied,2,Sometimes,3,0 (current students should choose this),1,Australia,3,A Biology department,2
4/6/16 18:37,"Not sure, but probably no",3,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily computational-based),3,Basic,1,Sometimes,3,0 (current students should choose this),1,Australia,3,A Biology department,2
4/11/16 6:21,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily field-based),1,Basic,1,Sometimes,3,0 (current students should choose this),1,Australia,3,A Biology department,2
4/12/16 3:13,"It depends, but probably yes",5,The corresponding author is usually the senior author,4,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily computational-based),3,Basic,1,Always,5,5-Jan,2,Europe,4,A Biology department,2
4/7/16 5:43,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Ecology (primarily computational-based),3,Basic,1,Never,1,5-Jan,2,Europe,4,A Biology department,2
4/6/16 10:47,"Not sure, but probably yes",4,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,No,1,Ecology (primarily field-based),1,Basic,1,Never,1,5-Jan,2,Europe,4,A Biology department,2
4/13/16 11:58,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person with the most stable contact info and/or internet access,2,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily organismal),5,Basic,1,Never,1,5-Jan,2,Europe,4,A Biology department,2
4/6/16 7:06,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Evolutionary biology (primarily organismal),5,Basic,1,Never,1,5-Jan,2,Europe,4,A Biology department,2
4/6/16 6:51,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,"Ecology (primarily wet-lab based, including molecular ecology)",2,Applied,2,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/7/16 15:22,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily computational-based),3,Basic,1,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/6/16 10:16,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,No,1,Ecology (primarily computational-based),3,Basic,1,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/6/16 17:27,"It depends, but probably yes",5,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily computational-based),3,Basic,1,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/6/16 11:17,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,Yes,4,Ecology (primarily field-based),1,Basic,1,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/7/16 8:33,Yes,6,The corresponding author is usually the senior author,4,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,"Ecology (primarily wet-lab based, including molecular ecology)",2,Basic,1,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/7/16 9:21,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily organismal),5,Basic,1,Often,4,5-Jan,2,Europe,4,A Biology department,2
4/6/16 12:15,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily computational-based),3,Applied,2,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/6/16 7:09,"Not sure, but probably yes",4,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/6/16 10:36,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Biology other than EEB,6,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/7/16 10:19,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/6/16 15:34,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person with the most stable contact info and/or internet access,2,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily field-based),1,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/6/16 7:22,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/7/16 4:45,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/7/16 10:26,Yes,6,The corresponding author is usually the senior author,4,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily field-based),1,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/9/16 2:44,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,"Ecology (primarily wet-lab based, including molecular ecology)",2,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/7/16 10:22,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,Evolutionary biology (primarily organismal),5,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/11/16 18:52,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily organismal),5,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/11/16 19:01,Yes,6,The corresponding author is usually the person who uploaded the files (usually the first author),3,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily organismal),5,Basic,1,Rarely,2,5-Jan,2,Europe,4,A Biology department,2
4/6/16 7:13,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Biology other than EEB,6,Applied,2,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 14:04,"It depends, but probably yes",5,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably not pay attention to it",2,Ecology (primarily computational-based),3,Applied,2,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/7/16 8:48,Yes,6,The corresponding author is the person that has taken responsibility for fielding questions about the paper post-publication,1,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Applied,2,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 17:38,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily molecular),4,Applied,2,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 11:27,"Not sure, but probably yes",4,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily computational-based),3,Basic,1,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 8:51,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily computational-based),3,Basic,1,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 9:23,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,Yes,4,Ecology (primarily computational-based),3,Basic,1,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 9:42,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily field-based),1,Basic,1,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/11/16 9:40,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably not pay attention to it",2,"Ecology (primarily wet-lab based, including molecular ecology)",2,Basic,1,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/6/16 16:54,"Not sure, but probably yes",4,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,"Ecology (primarily wet-lab based, including molecular ecology)",2,Basic,1,Sometimes,3,5-Jan,2,Europe,4,A Biology department,2
4/7/16 3:37,"It depends, but probably yes",5,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"The corresponding author should be the person who uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,"I have never seen this, but would probably pay attention to it",3,Ecology (primarily computational-based),3,Basic,1,.,.,5-Jan,2,Europe,4,A Biology department,2
4/6/16 23:53,Yes,6,"The corresponding author uploaded the files, managed the revisions and wrote the response to reviewers, and took responsibility for the paper after publication",5,The corresponding author should be the person that has taken responsibility for fielding questions about the paper post-publication,1,"I have never seen this, but would probably pay attention to it",3,Evolutionary biology (primarily organismal),5,Basic,1,Always,5,10-Jun,3,Europe,4,A Biology department,2
