Journal,Year,Volume,Article type,First page,Author names,Number authors,Corresponding,Notes,Correspondence
Ecology,1976,1,article,121,"Bahr, Jr.",1,no formal designation,?,ND
Ecology,1976,1,article,132,Root & Chaplin,2,"says to address correspondence to Dept of Entomology, but gives both authors as sharing that affiliation",,ND
Ecology,1976,1,article,141,Falk,1,no formal designation,?,ND
Ecology,1976,1,article,151,"Heed, Starmer, Miranda, Miller, & Phaff",5,no formal designation,?,ND
Ecology,1976,1,article,161,Tschinkel & van Belle,2,no formal designation,?,ND
Ecology,1976,1,article,169,Pickett & Bazzazz,2,no formal designation,?,ND
Ecology,1976,1,article,177,Bédard,1,no formal designation,?,ND
Ecology,1976,1,article,185,French,1,no formal designation,?,ND
Ecology,1976,1,article,192,Moen,1,no formal designation,?,ND
Ecology,1976,1,article,199,Horst,1,no formal designation,?,ND
Ecology,1976,1,article,205,Wu & Antonovics,2,no formal designation,?,ND
Ecology,1976,1,article,209,Bradbury & Hofstra,2,no formal designation,gives present address for first author,ND
Ecology,1986,1,article,1,Nobel & Quero,2,no formal designation,gives present address for second author,ND
Ecology,1986,1,article,12,Hadley & Smith,2,no formal designation,?,ND
Ecology,1986,1,article,20,Kalisz & Teeri,2,includes note to send reprint requests for first author,includes present address for first author; screen cap,first
Ecology,1986,1,article,27,Michaels & Bazzazz,2,no formal designation,gives present addresses for both authors,ND
Ecology,1986,1,article,37,Clay & Levin,2,no formal designation,gives present address for first author,ND
Ecology,1986,1,article,46,Gurevitch,1,no formal designation,?,ND
Ecology,1986,1,article,58,Dunwiddie,1,no formal designation,?,ND
Ecology,1986,1,article,69,Birk & Vitousek,2,no formal designation,gives present addresses for both authors,ND
Ecology,1986,1,article,80,"Groffman, House, Hendrix, Scott, & Crossley Jr",5,no formal designation,gives present addresses for two authors,ND
Ecology,1986,1,article,88,Bowden,1,no formal designation,?,ND
Ecology,1986,1,article,100,Kratz & DeWitt,2,no formal designation,?,ND
Ecology,1986,1,article,108,Moran,1,no formal designation,?,ND
Ecology,1986,1,article,116,"Denno, Douglass, & Jacobs",3,no formal designation,?,ND
Ecology,1986,1,article,124,Turchin,1,no formal designation,?,ND
Ecology,1986,1,article,133,Johnson,1,no formal designation,?,ND
Ecology,1986,1,article,139,Whitham,1,no formal designation,?,ND
Ecology,1986,1,article,148,Dewey,1,no formal designation,?,ND
Ecology,1986,1,article,163,Hurd & Rathet,2,no formal designation,"gives present address for second author; will stop noting this after this, since it's clearly common but not related to correspondence practices",ND
Ecology,1986,1,article,168,Smallwood & Peters,2,no formal designation,?,ND
Ecology,1986,1,article,175,Southerland,1,no formal designation,?,ND
Ecology,1986,1,article,182,Bortolotti,1,no formal designation,?,ND
Ecology,1986,1,article,195,Dueser & Porter,2,no formal designation,?,ND
Ecology,1986,1,article,202,Jones,1,no formal designation,?,ND
Ecology,1986,1,article,208,Palumbi,1,no formal designation,?,ND
Ecology,1986,1,article,215,Rodriguez & Mullin,2,no formal designation,?,ND
Ecology,1986,1,article,223,Lane,1,no formal designation,?,ND
Ecology,1986,1,article,240,Pyke & Thompson,2,no formal designation,?,ND
Ecology,1986,1,article,246,Muenchow,1,no formal designation,?,ND
Ecology,1986,1,note,251,"Gurevitch & Chester, Jr.",2,no formal designation,?,ND
Ecology,1986,1,note,255,Swihart & Slade,2,no formal designation,?,ND
Ecology,1986,1,note,258,Lacy & Bock,2,no formal designation,?,ND
Ecology,1986,1,note,260,"Schoener, Roughgarden, & Fenchel",3,no formal designation,?,ND
Ecology,1986,1,note,262,Davidar & Morton,2,no formal designation,?,ND
Ecology,1986,1,note,265,Huston,1,no formal designation,?,ND
Ecology,1986,1,note,269,Hassan & West,2,no formal designation,?,ND
Ecology,1986,1,note,273,"Running, Peterson, Spanner, & Teuber",4,no formal designation,?,ND
Ecology,1986,1,note,276,McAuliffe,1,no formal designation,?,ND
Ecology,1996,2,concept,337,Pascual & Kareiva,2,no formal designation,?,ND
Ecology,1996,2,article,350,Tilman,1,no formal designation,?,ND
Ecology,1996,2,article,364,"Schlesinger, Raikes, Hartley, & Cross",4,no formal designation,?,ND
Ecology,1996,2,article,375,Moloney & Levin,2,no formal designation,?,ND
Ecology,1996,2,article,395,Hogg & Williams,2,no formal designation,?,ND
Ecology,1996,2,article,408,Schmitt,1,no formal designation,?,ND
Ecology,1996,2,article,426,Boyd,1,no formal designation,?,ND
Ecology,1996,2,article,435,Lovvorn & Gillingham,2,no formal designation,?,ND
Ecology,1996,2,article,452,Repasky & Schluter,2,no formal designation,?,ND
Ecology,1996,2,article,461,Slagsvold & Dale,2,no formal designation,?,ND
Ecology,1996,2,article,472,Young,1,no formal designation,?,ND
Ecology,1996,2,article,489,Grant,1,no formal designation,?,ND
Ecology,1996,2,article,500,Grant & Grant,2,no formal designation,?,ND
Ecology,1996,2,article,510,Doebeli,1,no formal designation,?,ND
Ecology,1996,2,article,521,"Fay, Hartnett, & Knapp",3,no formal designation,?,ND
Ecology,1996,2,article,535,Stamp & Bowers,2,no formal designation,?,ND
Ecology,1996,2,article,550,Murcia & Feinsinger,2,address correspondence & reprint requests to second author,also notes authorship order determined by coin toss!; screen cap,last
Ecology,1996,2,article,561,"Terborgh, Foster, & Nuñez V",3,no formal designation,?,ND
Ecology,1996,2,article,568,"Lee, Baskaran, Mansor, Mohamad, & Yap",5,no formal designation,?,ND
Ecology,1996,2,article,581,Ellsworth & Reich,2,no formal designation,?,ND
Ecology,1996,2,article,595,Greene & Johnson,2,no formal designation,?,ND
Ecology,1996,2,article,610,Abrams & Matsuda,2,no formal designation,?,ND
Ecology,1996,2,article,617,"McPeek, Schrot, & Brown",3,no formal designation,?,ND
Ecology,1996,2,article,630,Gotelli,1,no formal designation,?,ND
Ecology,1996,2,article,639,Wagner & Wise,2,no formal designation,?,ND
Ecology,2006,2,report,271,McConkey & Drake,2,1,first one where specifies author email,first
Ecology,2006,2,report,277,Straub & Snyder,2,1,?,first
Ecology,2006,2,report,283,Økland & Bjørnstad,2,1,?,first
Ecology,2006,2,report,291,"Kapari, Haukioja, Rantala, & Ruuhola",4,2,screen cap,middle
Ecology,2006,2,report,297,Forsyth & Caley,2,1,?,first
Ecology,2006,2,report,304,Vellend,1,1,?,first
Ecology,2006,2,report,312,"Mittelbach, Garcia, & Taniguchi",3,1,?,first
Ecology,2006,2,report,319,Johnson,1,1,?,first
Ecology,2006,2,report,326,"Benstead, March, Fry, Ewel, & Pringle",5,1,?,first
Ecology,2006,2,report,334,"Lowe, Likens, McPeek, & Buso",4,1,?,first
Ecology,2006,2,report,340,Benard,1,1,?,first
Ecology,2006,2,article,347,Werner & Peacor,1,1,?,first
Ecology,2006,2,article,362,Rudolf,1,1,?,first
Ecology,2006,2,article,372,"Ruf, Fietz, Schlund, & Bieber",4,1,?,first
Ecology,2006,2,article,382,Johnson & Herbers,2,1,?,first
Ecology,2006,2,article,395,"Doak, Kareiva, & Kingsolver",3,1,?,first
Ecology,2006,2,article,409,Oberdörster & Grant,2,2,footnote indicating Grant is the corresponding author,last
Ecology,2006,2,article,419,"Levin, Neira, & Grosholz",3,1,?,first
Ecology,2006,2,article,433,"Hessen, Faafeng, Smith, Bakkestuen, & Walseng",5,1,?,first
Ecology,2006,2,article,444,"Vargas, Manriquez, & Navarette",3,4,footnote indicating Navarette is the corresponding author,last
Ecology,2006,2,article,458,"Krawchuk, Cumming, Flannigan, & Wein",4,1,?,first
Ecology,2006,2,article,469,Laurance et al.,8,1,?,first
Ecology,2006,2,article,483,Sack & Frole,2,1,?,first
Ecology,2006,2,article,492,"Cleveland, Reed, & Townsend",3,1,?,first
Ecology,2006,2,article,504,"Vile, Shipley, & Garnier",3,1,?,first
Ecology,2006,2,article,518,Benhamou,1,1,?,first
Ecology,2016,1,concept,5,Raymond et al,3,1,?,first
Ecology,2016,1,report,17,Allen et al,3,1,?,first
Ecology,2016,1,report,25,Shima et al,2,1,?,first
Ecology,2016,1,report,32,Buckley et al,3,1,?,first
Ecology,2016,1,report,40,Bjorkvoll et al,9,1,?,first
Ecology,2016,1,report,48,Rota et al,7,1,?,first
Ecology,2016,1,article,54,Morford et al,3,1,?,first
Ecology,2016,1,article,65,Tian et al,20,20,?,last
Ecology,2016,1,article,75,Funk et al,4,1,?,first
Ecology,2016,1,article,84,Abbott & Stachowicz,2,1,?,first
Ecology,2016,1,article,95,Sebastian-Gonzalez et al,8,1,?,first
Ecology,2016,1,article,106,Brown & Crone,2,1,?,first
Ecology,2016,1,article,116,Roca & Proulx,2,1,?,first
Ecology,2016,1,article,124,Metcalfe et al.,4,1,?,first
Ecology,2016,1,article,133,Lupon et al,4,1,?,first
Ecology,2016,1,article,145,Brownlee et al,5,2,?,middle
Ecology,2016,1,article,160,Chang et al,6,1,?,first
Ecology,2016,1,article,171,Romero-Romero,4,1,?,first
Ecology,2016,1,article,182,Passuni et al,12,1,?,first
Ecology,2016,1,article,194,Broms et al,5,1,?,first
Ecology,2016,1,article,205,Garnier et al,4,4,?,last
Ecology,2016,1,article,215,Martinez-Izquierdo et al,4,4,?,last
Ecology,2016,1,article,225,Houadria et al,8,1,?,first
Ecology,2016,1,article,236,King & Tschinkel,2,1,?,first
Ecology,2016,1,article,250,Huang et al,5,5,?,last
Ecology,2016,1,article,262,Henriksson et al,5,5,?,last
Ecology,2011,1,report,3,Warton & Hui,2,1,?,first
Ecology,2011,1,report,11,Ireland & Booth,2,1,?,first
Ecology,2011,1,report,19,Dorado et al,4,1,?,first
Ecology,2011,1,article,26,Schleuning et al,6,1,?,first
Ecology,2011,1,article,37,Pringle et al,3,1,?,first
Ecology,2011,1,article,47,Pizano et al,5,1,?,first
Ecology,2011,1,article,57,Hovatter et al,4,4,?,last
Ecology,2011,1,article,66,Yelenik & Levine,2,1,?,first
Ecology,2011,1,article,75,Dalgleish et al,5,1,?,first
Ecology,2011,1,article,86,Jongejans et al,5,1,?,first
Ecology,2011,1,article,98,Blackburn et al,3,2,?,middle
Ecology,2011,1,article,108,Grace et al,3,2,?,middle
Ecology,2011,1,article,121,Krawchuk & Moritz,2,1,?,first
Ecology,2011,1,article,133,Garten et al,3,1,?,first
Ecology,2011,1,article,140,Finlay et al,6,1,?,first
Ecology,2011,1,article,151,Kominoski et al,3,1,?,first
Ecology,2011,1,article,160,Lecerf et al,6,1,?,first
Ecology,2011,1,article,170,Oufiero et al,4,1,?,first
Ecology,2011,1,article,180,Long et al,3,1,?,first
Ecology,2011,1,article,189,Bartolino et al,4,1,?,first
Ecology,2011,1,article,201,Sato et al,6,1,?,first
Ecology,2011,1,article,208,Fresstone & Osman,2,1,?,first
Ecology,2011,1,article,218,Armitage et al,4,4,?,last
Ecology,2011,1,article,228,Fauchald et al,6,1,?,first
Ecology,2011,1,article,240,Babin et al,4,2,?,middle
Ecology,2011,1,note,253,Werenraut & Ruggiero,2,1,?,first
